Job_ID,Operation:First,Operation:Middle,Operation:Later,Operation:Last,ProcessTime:Short,ProcessTime:Middle,ProcessTime:Long,RemainingTime:Short,RemainingTime:Middle,RemainingTime:Long,MachineLoadlight,MachineLoadHeavy,Priority,Operation,ProcessTime,ReaminingTime,MachineLoadLight,MachineLoadHeavy
12,0,1,0,0,0,0,1,0,0,1,1,0,6,3,6,18,1,0
1,0,1,0,0,1,0,0,0,0,1,1,1,1,3,1,20,1,1
15,0,1,0,0,0,1,0,0,0,1,0,1,2,2,2,20,0,1
4,0,1,0,0,0,0,1,0,0,1,1,0,5,2,6,21,1,0
1,0,1,0,0,0,0,1,0,0,1,1,1,1,2,9,21,1,1
10,1,0,0,0,0,1,0,0,0,1,0,2,3,1,5,22,0,2
15,1,0,0,0,0,0,1,0,0,1,1,1,2,1,5,22,1,1
6,0,1,0,0,0,0,1,0,0,1,1,1,3,5,7,23,1,1
12,0,1,0,0,0,1,0,0,0,1,0,1,6,2,1,24,0,1
9,0,1,0,0,0,1,0,0,0,1,2,0,6,3,4,24,2,0
12,1,0,0,0,0,1,0,0,0,1,1,1,6,1,2,25,1,1
5,0,1,0,0,0,1,0,0,0,1,2,0,4,3,4,26,2,0
4,1,0,0,0,0,1,0,0,0,1,0,1,5,1,2,27,0,1
9,0,1,0,0,0,0,1,0,0,1,1,1,6,2,9,28,1,1
6,0,1,0,0,1,0,0,0,0,1,1,1,3,4,1,30,1,1
1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,6,30,1,0
5,0,1,0,0,0,0,1,0,0,1,1,1,4,2,9,30,1,1
6,0,1,0,0,0,1,0,0,0,1,2,1,3,3,2,31,2,1
6,0,1,0,0,1,0,0,0,0,1,2,0,3,2,1,33,2,0
6,1,0,0,0,0,1,0,0,0,1,0,1,3,1,2,34,0,1
9,1,0,0,0,0,0,1,0,0,1,1,0,6,1,6,37,1,0
5,1,0,0,0,0,1,0,0,0,1,0,1,4,1,2,39,0,1
